country,year,indicator,value,country_name,indicator_code,description,unit,frequency,transformation,source,retrieved_at
CHN,1991,EXPORTS_PERCENT_GDP,14.4450323111337,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1992,EXPORTS_PERCENT_GDP,15.6002410213269,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1993,EXPORTS_PERCENT_GDP,16.6339975209836,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1994,EXPORTS_PERCENT_GDP,18.4515778259707,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1995,EXPORTS_PERCENT_GDP,17.8624291729756,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1996,EXPORTS_PERCENT_GDP,17.8247104643429,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1997,EXPORTS_PERCENT_GDP,19.3692945938508,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1998,EXPORTS_PERCENT_GDP,18.1992267514817,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1999,EXPORTS_PERCENT_GDP,18.0006905864312,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2000,EXPORTS_PERCENT_GDP,20.681599363293,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2001,EXPORTS_PERCENT_GDP,20.0776873829946,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2002,EXPORTS_PERCENT_GDP,22.3518233715808,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
